Order date,SUBSIDIARY_CD,GLOBAL_NO,CLASSIFY_CD,CUST_CD,BRAND_CD,INNER_CD,SUPPLIER_CD,Sales order line number,Stock class,Consider count hodiday Saturday,SO QTY,OTHER AREA SHIP DIV,ALLOCATION QTY,SUPPLIER INV AMOUNT,PACKING RANK,PRODUCT_CD,PRODUCT ATTRIBUTION,SPECIAL DIV,LOGICAL PLANT,PURCHASE AMOUNT,VSD,DIRECT SHIP FLG,DELI_DIV,label,Ship Mode,SHIP DECISION NO,PACK QTY,WEIGHT PER PIECE,SUPPLIER_DIV,HEAVY_FLG,EXPENSIVE_FLG,SPECIAL_DIV,ACTUAL_SHIP_DAYS,SPECIFY_PRODUCTION_DAYS,SPECIFY_SHIP_DAYS,HAZARD_FLG,SO_DAY_OF_MONTH,SO_DAY_OF_WEEK,IO_UNFIT_FLG,WEIGHT_UNIT,REASON_CD,SOUF_RCV_NO,QTUF_RCV_NO,SO_TIME,SUPPLIER_CATEGORY_CD,PRODUCT_ASSORT
2022-05-16 00:00:00,MJP,01071325637850,03954109,071325,MSM1,30350820001,3081,19,1,0,4, ,4,4176,Z,HFS6-3030-460-SC-CW,1,0,53,4176,2022-05-20 00:00:00,0,00,1,P,171821,0,414,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-24 00:00:00,MJP,01071433612487,21030202,071433,CKD1,F7042430037,8109,1,1,4,1, ,1,5770,Z,RJB500-SSC6-P,1,0,53,5770,2022-06-23 00:00:00,0,00,1,B,121224,0,1000,2.0,0,0,0,13,-1,-1,0,24,2,0,g,401,,,114434,05, 
2022-05-11 00:00:00,MJP,01071689616664,03731226,071689,MSM1,79008500501,3013,1,1,0,14, ,14,9884,Z,HFCCA-SCM-A38-B48-T10-V24-Y13-N6-L19-G36-MA12,1,0,53,9884,2022-05-20 00:00:00,0,00,1,B,171734,0,144,1.0,0,0,0,7,-1,-1,0,11,3,0,g,   ,,,142501,05, 
2022-06-09 00:00:00,MJP,01071830602797,21024501,071830,AOK1,F3055060193,8276,3,1,4,1, ,1,3354,Z,SSB2075,1,0,53,3354,2022-06-20 00:00:00,0,00,1,B,560829,0,3200,2.0,0,0,0,4,-1,-1,0,9,4,0,g,401,,,143103,05, 
2022-04-20 00:00:00,MJP,05266028142342,21034811,266028,FLL1,F7508100011,8721,1,0,0,12, ,12,6768,Z,THL-40-A-N,0,1,53,6768,2022-05-13 00:00:00,0,00,1,C,214841,0,130,1.0,0,0,1,19,-1,-1,0,20,3,0,,401,862558,,131923,05, 
2022-04-25 00:00:00,MJP,05266028142590,03941706,266028,MSM1,30201610002,3071,1,1,4,2, ,2,11400,Z,MRBH2,1,0,53,11400,2022-05-31 00:00:00,0,00,1,B,088342,0,200,2.0,0,0,0,17,-1,-1,0,25,1,0,g,453,,,162926,05, 
2022-05-17 00:00:00,MJP,05266028143195,03954109,266028,MSM1,30350840001,3081,1,1,0,14, ,14,14630,Z,HFS8-4040-850.0,1,0,53,14630,2022-05-20 00:00:00,0,00,1,C,172997,0,1471,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-17 00:00:00,MJP,05266028143196,03954109,266028,MSM1,30350840001,3081,2,1,0,27, ,27,10611,Z,HFS8-4040-320.0,1,0,53,10611,2022-05-20 00:00:00,0,00,1,C,172997,0,554,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-17 00:00:00,MJP,05266028143197,03954109,266028,MSM1,30350840001,3081,3,1,0,5, ,5,2460,Z,HFS8-4040-400.0,1,0,53,2460,2022-05-20 00:00:00,0,00,1,C,172997,0,692,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-17 00:00:00,MJP,05266028143198,03954109,266028,MSM1,30350840001,3081,4,1,0,8, ,8,2952,Z,HFS8-4040-150.0,1,0,53,2952,2022-05-20 00:00:00,0,00,1,C,172997,0,260,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-17 00:00:00,MJP,05266028143199,03954109,266028,MSM1,30350840001,3081,5,1,0,6, ,6,2214,Z,HFS8-4040-220.0,1,0,53,2214,2022-05-20 00:00:00,0,00,1,C,172997,0,381,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-17 00:00:00,MJP,05266028143200,03954109,266028,MSM1,30350840001,3081,6,1,0,4, ,4,1968,Z,HFS8-4040-400.0,1,0,53,1968,2022-05-20 00:00:00,0,00,1,C,172998,0,692,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-17 00:00:00,MJP,05266028143201,03954109,266028,MSM1,30350840001,3081,7,1,0,1, ,1,369,Z,HFS8-4040-260.0,1,0,53,369,2022-05-20 00:00:00,0,00,1,C,172998,0,450,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-17 00:00:00,MJP,05266028143202,03954109,266028,MSM1,30350840001,3081,8,1,0,6, ,6,2214,Z,HFS8-4040-100.0,1,0,53,2214,2022-05-20 00:00:00,0,00,1,C,172998,0,173,1.0,0,0,0,2,-1,-1,0,17,2,0,g,   ,,,170335,05, 
2022-05-18 00:00:00,MJP,05266028143213,03954109,266028,MSM1,30350840101,3081,7,1,0,2, ,2,1002,Z,HFS8-4545-295,1,0,53,1002,2022-05-20 00:00:00,0,00,1,C,172999,0,620,1.0,0,0,0,1,-1,-1,0,18,3,0,g,   ,,,085419,05, 
2022-05-18 00:00:00,MJP,05266028143214,03954109,266028,MSM1,30350840101,3081,8,1,0,3, ,3,2505,Z,HFS8-4545-500,1,0,53,2505,2022-05-20 00:00:00,0,00,1,C,172999,0,1050,1.0,0,0,0,1,-1,-1,0,18,3,0,g,   ,,,085419,05, 
2022-05-18 00:00:00,MJP,05266028143215,03954109,266028,MSM1,30350840101,3081,9,1,0,2, ,2,4758,Z,HFS8-4545-1425,1,0,53,4758,2022-05-20 00:00:00,0,00,1,C,172999,0,2993,1.0,0,0,0,1,-1,-1,0,18,3,0,g,   ,,,085419,05, 
2022-06-20 00:00:00,MJP,05266028144947,03713539,266028,MSM1,30064010004,0305,2,1,0,12, ,12,37152,Z,PSFMP-300-300-13,1,0,53,37152,2022-06-23 00:00:00,1,50,1,T,468851,0,9208,1.0,0,0,0,3,-1,-1,0,20,1,0,g,410,,,091830,05, 
2022-05-18 00:00:00,MJP,01075367614671,03954111,075367,MSM1,30357450001,3081,1,1,0,2, ,2,328,Z,NFSL6-3030-310,1,0,53,328,2022-05-20 00:00:00,0,00,1,B,171671,0,236,1.0,0,0,0,1,-1,-1,0,18,3,0,g,   ,,,170257,05, 
2022-04-25 00:00:00,MJP,05269260015410,03954111,269260,MSM1,30357450001,3081,1,1,0,2, ,2,318,Z,NFSL6-3030-200,1,0,53,318,2022-04-27 00:00:00,0,00,1,C,144237,0,152,1.0,0,0,0,1,-1,-1,0,25,1,0,g,   ,,,104520,05, 
