Unnamed: 0,Address,tinh,tinh_cat,qh,qh_cat,px,px_cat,duong,Address_ch,street,ward,district,province,normalized_address
4119,3017 tòa ct 2 - chung cư eco green,,,,,,,,,3017 tòa ct 2 chung cư eco green,,,,3017 tòa ct 2 chung cư eco green
4120,"số nhà 34 , dãy 16b6 , mộ lao , hà đông",,,,,,,,,số nhà 34 dãy 16b6 mộ lao hà đông,,,,số nhà 34 dãy 16b6 mộ lao hà đông
4121,quận thủ đức,,,,,,,,,quận thủ đức,,,,quận thủ đức
4122,sacomreal hòa bình quận tân phú,,,,,,,,,sacomreal  quận tân phú,,,Hòa Bình,"sacomreal  quận tân phú, Hòa Bình"
4123,khu dân cư phú xuân đường số xã phú xuân huyện nhà bè,,,,,,,,,khu dân cư phú xuân đường số xã phú xuân huyện nhà bè,,,,khu dân cư phú xuân đường số xã phú xuân huyện nhà bè
4124,"thôn hòa lạc , xã bình yên , h . thạch thất , hn",,,,,,,,,thôn hòa lạc xã bình yên h thạch thất hn,,,,thôn hòa lạc xã bình yên h thạch thất hn
4125,khu dân cư việt sing thành phố thuận an bình dương .,,,,,,,,,khu dân cư việt sing thành phố thuận an,,,Bình Dương,"khu dân cư việt sing thành phố thuận an, Bình Dương"
4126,"dũng sỹ điện ngọc , điện bàn , quảng nam",,,,,,,,,dũng sỹ điện ngọc điện bàn,,,Quảng Nam,"dũng sỹ điện ngọc điện bàn, Quảng Nam"
4127,"hẻm đường huỳnh tấn phát , thị trấn huyện nhà bè",,,,,,,,,hẻm đường huỳnh tấn phát thị trấn huyện nhà bè,,,,hẻm đường huỳnh tấn phát thị trấn huyện nhà bè
4128,phường 3 quận 11,,,,,,,,,phường 3 quận 11,,,,phường 3 quận 11
4129,"89 / 2 đường dương đình hội , phước long b , quận 9",,,,,,,,,89 2 đường dương đình hội phước long b quận 9,,,,89 2 đường dương đình hội phước long b quận 9
4130,chung cư cao cấp royal city,,,,,,,,,chung cư cao cấp royal city,,,,chung cư cao cấp royal city
4131,quang trung,,,,,,,,,quang trung,,,,quang trung
4132,trung tâm thành phố thái bình,,,,,,,,,trung tâm thành phố,,Thành phố Thái Bình,Thái Bình,"trung tâm thành phố, Thành phố Thái Bình, Thái Bình"
4133,trung tâm kcn tràng duệ,,,,,,,,,trung tâm kcn tràng duệ,,,,trung tâm kcn tràng duệ
4134,ba son,,,,,,,,,ba son,,,,ba son
4135,chung cư oriental plaza quận tân phú,,,,,,,,,chung cư oriental plaza quận tân phú,,,,chung cư oriental plaza quận tân phú
4136,"khu trung tự , phường trung tự , quận đống đa , hà nội",,,,,,,,,khu trung tự phường trung tự quận đống đa hà nội,,,,khu trung tự phường trung tự quận đống đa hà nội
4137,đường hồng hà phường 2 quận tân bình,,,,,,,,,đường hồng hà phường 2 quận tân bình,,,,đường hồng hà phường 2 quận tân bình
4138,"khu đô thị & công nghiệp mỹ phước , bình dương",,,,,,,,,khu đô thị công nghiệp mỹ phước,,,Bình Dương,"khu đô thị công nghiệp mỹ phước, Bình Dương"
4139,him lam vạn phúc luxury residence,,,,,,,,,him lam vạn phúc luxury residence,,,,him lam vạn phúc luxury residence
4140,"số 32 đường tố hữu , phường vạn phúc , hà đông , hà nội",,,,,,,,,số 32 đường tố hữu phường vạn phúc hà đông hà nội,,,,số 32 đường tố hữu phường vạn phúc hà đông hà nội
4141,him lam vạn phúc,,,,,,,,,him lam vạn phúc,,,,him lam vạn phúc
4142,mặt tiền đường võ nguyên giáp,,,,,,,,,mặt tiền đường võ nguyên giáp,,,,mặt tiền đường võ nguyên giáp
4143,"xã phước tân , tp biên hòa , đồng nai",,,,,,,,,xã phước tân tp biên hòa,,,Đồng Nai,"xã phước tân tp biên hòa, Đồng Nai"
4144,phường 12 quận 8,,,,,,,,,phường 12 quận 8,,,,phường 12 quận 8
4145,"đường lê trực , quận bình thạnh",,,,,,,,,đường lê trực quận bình thạnh,,,,đường lê trực quận bình thạnh
4146,"phố võ chí công , lạc long quân , xuân la quận tây hồ",,,,,,,,,phố võ chí công lạc long quân xuân la quận tây hồ,,,,phố võ chí công lạc long quân xuân la quận tây hồ
4147,"dragon hill 1 , xã phước kiển , huyện nhà bè",,,,,,,,,dragon hill 1 xã phước kiển huyện nhà bè,,,,dragon hill 1 xã phước kiển huyện nhà bè
4148,dragon hill,,,,,,,,,dragon hill,,,,dragon hill
4149,"dự án rio centro , phường phú hữu - quận 9",,,,,,,,,dự án rio centro phường phú hữu quận 9,,,,dự án rio centro phường phú hữu quận 9
4150,chung cư scitech 304 hồ tùng mậu,,,,,,,,,chung cư scitech 304 hồ tùng mậu,,,,chung cư scitech 304 hồ tùng mậu
4151,ngõ 304 hồ tùng mậu,,,,,,,,,ngõ 304 hồ tùng mậu,,,,ngõ 304 hồ tùng mậu
4152,khu bách thanh f22 đại lải flamingo,,,,,,,,,khu bách thanh f22 đại lải flamingo,,,,khu bách thanh f22 đại lải flamingo
4153,đường hậu giang phường 4 quận tân bình,,,,,,,,,đường  phường 4 quận tân bình,,,Hậu Giang,"đường  phường 4 quận tân bình, Hậu Giang"
4154,mặt tiền đường lớn phường tân hưng quận 7,,,,,,,,,mặt tiền đường lớn phường tân hưng quận 7,,,,mặt tiền đường lớn phường tân hưng quận 7
4155,nguyễn phước tần,,,,,,,,,nguyễn phước tần,,,,nguyễn phước tần
4156,"54 / 20 / 14 bạch đằng , phường 2 , tân bình",,,,,,,,,54 20 14 bạch đằng phường 2 tân bình,,,,54 20 14 bạch đằng phường 2 tân bình
4157,"đường số 5 , p16 , gv",,,,,,,,,đường số 5 p16 gv,,,,đường số 5 p16 gv
4158,"đường số 5 , p16 , gò vấp",,,,,,,,,đường số 5 p16 gò vấp,,,,đường số 5 p16 gò vấp
4159,số 04,,,,,,,,,số 04,,,,số 04
4160,chiến thắng,,,,,,,,,chiến thắng,,,,chiến thắng
4161,"phường tân đông hiệp , tp dĩ an , bình dương",,,,,,,,,phường tân đông hiệp tp dĩ an,,,Bình Dương,"phường tân đông hiệp tp dĩ an, Bình Dương"
4162,đường cao bá quát,,,,,,,,,đường cao bá quát,,,,đường cao bá quát
4163,"phố kim hoa , đống đa",,,,,,,,,phố kim hoa đống đa,,,,phố kim hoa đống đa
4164,"3 / 22 / 69 bùi huy bích , hoàng liệt , hoàng mai , hà nội",,,,,,,,,3 22 69 bùi huy bích hoàng liệt hoàng mai hà nội,,,,3 22 69 bùi huy bích hoàng liệt hoàng mai hà nội
4165,dự án eden rose,,,,,,,,,dự án eden rose,,,,dự án eden rose
4166,155a,,,,,,,,,155a,,,,155a
4167,"xã mỹ bình , đức huệ",,,,,,,,,xã mỹ bình đức huệ,,,,xã mỹ bình đức huệ
4168,xã mỹ bình đức huệ,,,,,,,,,xã mỹ bình đức huệ,,,,xã mỹ bình đức huệ
4169,"mỹ bình , đức huệ , long an",,,,,,,,,mỹ bình đức huệ,,,Long An,"mỹ bình đức huệ, Long An"
4170,d2001,,,,,,,,,d2001,,,,d2001
4171,khu mulberry lane,,,,,,,,,khu mulberry lane,,,,khu mulberry lane
4172,"hội nghĩa , tân uyên",,,,,,,,,hội nghĩa tân uyên,,,,hội nghĩa tân uyên
4173,"đường an bình , p3 , tp . đà lạt",,,,,,,,,đường an bình p3 tp đà lạt,,,,đường an bình p3 tp đà lạt
4174,"xã an ngãi , huyện long điền , tỉnh bà rịa - vũng tàu",,,,,,,,,tỉnh,Xã An Ngãi,Huyện Long Điền,Bà Rịa Vũng Tàu,"tỉnh, Xã An Ngãi, Huyện Long Điền, Bà Rịa Vũng Tàu"
4175,phan đăng lưu,,,,,,,,,phan đăng lưu,,,,phan đăng lưu
4176,"mặt phố nguyễn thái học , quận ba đình",,,,,,,,,mặt phố nguyễn thái học quận ba đình,,,,mặt phố nguyễn thái học quận ba đình
4177,tòa s1 sunshine city sg,,,,,,,,,tòa s1 sunshine city sg,,,,tòa s1 sunshine city sg
4178,khu đô thị mới bình dương,,,,,,,,,khu đô thị mới,,,Bình Dương,"khu đô thị mới, Bình Dương"
4179,mặt đường tỉnh lộ 309b thuộc làng chùa - hướng đạo - tam dương - vĩnh phúc,,,,,,,,,mặt đường tỉnh lộ 309b thuộc làng chùa hướng đạo tam dương,,,Vĩnh Phúc,"mặt đường tỉnh lộ 309b thuộc làng chùa hướng đạo tam dương, Vĩnh Phúc"
4180,coopmart bình triệu - hiệp bình chánh - thủ đức,,,,,,,,,coopmart bình triệu hiệp bình chánh thủ đức,,,,coopmart bình triệu hiệp bình chánh thủ đức
4181,phú nhuận mặt tiền phan đình phùng,,,,,,,,,phú nhuận mặt tiền phan đình phùng,,,,phú nhuận mặt tiền phan đình phùng
4182,"hợp hòa , sơn dương , tuyên quang",,,,,,,,,hợp hòa sơn dương,,,Tuyên Quang,"hợp hòa sơn dương, Tuyên Quang"
4183,swan park,,,,,,,,,swan park,,,,swan park
4184,mặt tiền đường tôn đức thắng ( 25b ),,,,,,,,,mặt tiền đường tôn đức thắng 25b,,,,mặt tiền đường tôn đức thắng 25b
4185,"chung cư thuộc kdt cao cấp vinhomes skylake phạm hùng , quận nam từ liêm hà nội",,,,,,,,,chung cư thuộc kdt cao cấp vinhomes skylake phạm hùng quận nam từ liêm hà nội,,,,chung cư thuộc kdt cao cấp vinhomes skylake phạm hùng quận nam từ liêm hà nội
4186,"thị xã cửa lò , nghệ an",,,,,,,,,,,Thị xã Cửa Lò,Nghệ An,"Thị xã Cửa Lò, Nghệ An"
4187,"kp . đông thành , p . tân đông hiệp , tp . dĩ an , bình dương",,,,,,,,,kp đông thành p tân đông hiệp tp dĩ an,,,Bình Dương,"kp đông thành p tân đông hiệp tp dĩ an, Bình Dương"
4188,"khu dân cư vĩnh lộc , quận bình tân",,,,,,,,,khu dân cư vĩnh lộc quận bình tân,,,,khu dân cư vĩnh lộc quận bình tân
4189,trần phú - la phù cạnh đường lê trọng tấn và tố hữu - hà đông,,,,,,,,,trần phú la phù cạnh đường lê trọng tấn và tố hữu hà đông,,,,trần phú la phù cạnh đường lê trọng tấn và tố hữu hà đông
4190,nhà la phù,,,,,,,,,nhà la phù,,,,nhà la phù
4191,"nguyễn sư hồi , lối 2 sau",,,,,,,,,nguyễn sư hồi lối 2 sau,,,,nguyễn sư hồi lối 2 sau
4192,hải âu 02 đn,,,,,,,,,hải âu 02 đn,,,,hải âu 02 đn
4193,tiểu khu hải âu,,,,,,,,,tiểu khu hải âu,,,,tiểu khu hải âu
4194,"vườn đào d9a2 , lạc long quân , tây hồ , hn",,,,,,,,,vườn đào d9a2 lạc long quân tây hồ hn,,,,vườn đào d9a2 lạc long quân tây hồ hn
4195,chương dương độ - hoàn kiếm - hà nội,,,,,,,,,chương dương độ hoàn kiếm hà nội,,,,chương dương độ hoàn kiếm hà nội
4196,"xã phước hiệp , h . củ chi",,,,,,,,,xã phước hiệp h củ chi,,,,xã phước hiệp h củ chi
4197,"an sương , p tân hưng thuận , quận 12",,,,,,,,,an sương p tân hưng thuận quận 12,,,,an sương p tân hưng thuận quận 12
4198,"đường dd 5 , phường tân hưng thuận , quận 12 , hồ chí minh",,,,,,,,,đường dd 5 phường tân hưng thuận 2,, Quận 1,Hồ Chí Minh,"đường dd 5 phường tân hưng thuận 2,  Quận 1, Hồ Chí Minh"
4199,khu omely đường huỳnh tấn phát,,,,,,,,,khu omely đường huỳnh tấn phát,,,,khu omely đường huỳnh tấn phát
4200,phân khu sapphire - goldmark city 136 hồ tùng mậu,,,,,,,,,phân khu sapphire goldmark city 136 hồ tùng mậu,,,,phân khu sapphire goldmark city 136 hồ tùng mậu
4201,him lam chợ lớn,,,,,,,,,him lam chợ lớn,,,,him lam chợ lớn
4202,căn c1 - 06.01,,,,,,,,,căn c1 06 01,,,,căn c1 06 01
4203,khu đô thị đền lừ,,,,,,,,,khu đô thị đền lừ,,,,khu đô thị đền lừ
4204,đường bùi kỷ,,,,,,,,,đường bùi kỷ,,,,đường bùi kỷ
4205,mizuki park tòa mp2,,,,,,,,,mizuki park tòa mp2,,,,mizuki park tòa mp2
4206,richstar novaland,,,,,,,,,richstar novaland,,,,richstar novaland
4207,mặt ngõ phố xã đàn,,,,,,,,,mặt ngõ phố xã đàn,,,,mặt ngõ phố xã đàn
4208,phố xã đàn,,,,,,,,,phố xã đàn,,,,phố xã đàn
4209,"mặt tiền đường 81 ( trường chinh ) , phú mỹ , bà rịa",,,,,,,,,mặt tiền đường 81 trường chinh phú mỹ bà rịa,,,,mặt tiền đường 81 trường chinh phú mỹ bà rịa
4210,khu phân lô tổng cục du lịch cuối,,,,,,,,,khu phân lô tổng cục du lịch cuối,,,,khu phân lô tổng cục du lịch cuối
4211,"phố lạc trung , minh khai",,,,,,,,,phố lạc trung minh khai,,,,phố lạc trung minh khai
4212,khu phân lô,,,,,,,,,khu phân lô,,,,khu phân lô
4213,"ngõ 651 minh khai , ngõ thông 325 kim ngưu và 184 đê trần khát chân",,,,,,,,,ngõ 651 minh khai ngõ thông 325 kim ngưu và 184 đê trần khát chân,,,,ngõ 651 minh khai ngõ thông 325 kim ngưu và 184 đê trần khát chân
4214,"thôn hà già , xã vạn hưng , vạn ninh",,,,,,,,,thôn hà già xã vạn hưng vạn ninh,,,,thôn hà già xã vạn hưng vạn ninh
4215,thôn hà già . xuân tự . xuân vinh xã vạn hưng huyện vạn ninh khánh hòa,,,,,,,,,thôn hà già xuân tự xuân vinh,Xã Vạn Hưng,Huyện Vạn Ninh,Khánh Hòa,"thôn hà già xuân tự xuân vinh, Xã Vạn Hưng, Huyện Vạn Ninh, Khánh Hòa"
4216,"kdc nam long , lô a21",,,,,,,,,kdc nam long lô a21,,,,kdc nam long lô a21
4217,"635d đỗ xuân hợp , p . phước long b , q9",,,,,,,,,635d đỗ xuân hợp p phước long b q9,,,,635d đỗ xuân hợp p phước long b q9
4218,"tp . biên hòa , đồng nai",,,,,,,,,tp biên hòa,,,Đồng Nai,"tp biên hòa, Đồng Nai"
4219,"số 182 / 67 bạch đằng , p24 , q . bình thạnh",,,,,,,,,số 182 67 bạch đằng p24 q bình thạnh,,,,số 182 67 bạch đằng p24 q bình thạnh
4220,"võ đình , quận 12",,,,,,,,,võ đình quận 12,,,,võ đình quận 12
4221,dự án mandarin garden cầu giấy,,,,,,,,,dự án mandarin garden cầu giấy,,,,dự án mandarin garden cầu giấy
4222,topaz elite quận 8,,,,,,,,,topaz elite quận 8,,,,topaz elite quận 8
4223,"mặt phố hoàng ngân , trung hòa , cầu giấy",,,,,,,,,mặt phố hoàng ngân trung hòa cầu giấy,,,,mặt phố hoàng ngân trung hòa cầu giấy
4224,mặt . tiền bình giã,,,,,,,,,mặt tiền bình giã,,,,mặt tiền bình giã
4225,"bình giã , phường 8 , thành phố vũng tàu",,,,,,,,,bình giã phường 8 thành phố vũng tàu,,,,bình giã phường 8 thành phố vũng tàu
4226,"s3010616 , tháp s03",,,,,,,,,s3010616 tháp s03,,,,s3010616 tháp s03
4227,đường mai văn ngọc,,,,,,,,,đường mai văn ngọc,,,,đường mai văn ngọc
4228,bê tông ô tô bình kỳ,,,,,,,,,bê tông ô tô bình kỳ,,,,bê tông ô tô bình kỳ
4229,"kdc nam long , quận 9 , đường đỗ xuân hợp - đường liên phường",,,,,,,,,kdc nam long quận 9 đường đỗ xuân hợp đường liên phường,,,,kdc nam long quận 9 đường đỗ xuân hợp đường liên phường
4230,"xã tà nung , thành phố đà lạt",,,,,,,,,xã tà nung thành phố đà lạt,,,,xã tà nung thành phố đà lạt
4231,"cẩm thanh , hội an",,,,,,,,,cẩm thanh hội an,,,,cẩm thanh hội an
4232,"thọ an , đan phượng",,,,,,,,,thọ an đan phượng,,,,thọ an đan phượng
4233,"lê văn sỹ , phường 12 , quận 3",,,,,,,,,lê văn sỹ phường 12 quận 3,,,,lê văn sỹ phường 12 quận 3
4234,"thôn tiến hiệp , xã tiến lợi , tp . phan thiết , tỉnh bình thuận",,,,,,,,,thôn tiến hiệp xã tiến lợi tp phan thiết tỉnh,,,Bình Thuận  ,"thôn tiến hiệp xã tiến lợi tp phan thiết tỉnh, Bình Thuận  "
4235,the ever rich infinity - 290 an dương vương p4 q5,,,,,,,,,the ever rich infinity 290 an dương vương p4 q5,,,,the ever rich infinity 290 an dương vương p4 q5
4236,chung cư mandarin garden của tập đoàn hòa phát,,,,,,,,,chung cư mandarin garden của tập đoàn hòa phát,,,,chung cư mandarin garden của tập đoàn hòa phát
4237,"ngách 33 / 15a , đường cát linh , phường cát linh , quận đống đa , thành phố hà nội",,,,,,,,,ngách 33 15a đường cát linh phường cát linh quận đống đa thành phố hà nội,,,,ngách 33 15a đường cát linh phường cát linh quận đống đa thành phố hà nội
4238,bcons miền đông,,,,,,,,,bcons miền đông,,,,bcons miền đông
4239,"hẻm 170 bùi đình túy , p12 , bình thạnh",,,,,,,,,hẻm 170 bùi đình túy p12 bình thạnh,,,,hẻm 170 bùi đình túy p12 bình thạnh
4240,dự án epics home 43 phạm văn đồng,,,,,,,,,dự án epics home 43 phạm văn đồng,,,,dự án epics home 43 phạm văn đồng
4241,diamond anata,,,,,,,,,diamond anata,,,,diamond anata
4242,"tổ 13,14 phú lương",,,,,,,,,tổ 13 14 phú lương,,,,tổ 13 14 phú lương
4243,đất chánh mỹ,,,,,,,,,đất chánh mỹ,,,,đất chánh mỹ
4244,chung cư sun square 21 lê đức thọ,,,,,,,,,chung cư sun square 21 lê đức thọ,,,,chung cư sun square 21 lê đức thọ
4245,"đường 48 , hiệp bình chánh , thủ đức",,,,,,,,,đường 48 hiệp bình chánh thủ đức,,,,đường 48 hiệp bình chánh thủ đức
4246,"số 57 nghách 349 / 70 phố minh khai , phường vĩnh tuy , quận hai bà trưng",,,,,,,,,số 57 nghách 349 70 phố minh khai phường vĩnh tuy quận hai bà trưng,,,,số 57 nghách 349 70 phố minh khai phường vĩnh tuy quận hai bà trưng
4247,hồ tràm - xuyên mộc,,,,,,,,,hồ tràm xuyên mộc,,,,hồ tràm xuyên mộc
4248,"tổ 2 , thị trấn đông anh , hà nội",,,,,,,,,tổ 2 thị trấn đông anh hà nội,,,,tổ 2 thị trấn đông anh hà nội
4249,thị trấn đông anh,,,,,,,,,thị trấn đông anh,,,,thị trấn đông anh
4250,"1772 nguyễn ái quốc , kp 6 , p . trung dũng",,,,,,,,,1772 nguyễn ái quốc kp 6 p trung dũng,,,,1772 nguyễn ái quốc kp 6 p trung dũng
4251,mặt tiền đường cửu long,,,,,,,,,mặt tiền đường cửu long,,,,mặt tiền đường cửu long
4252,"kênh cầu đồng than , giam phạm , yên mỹ",,,,,,,,,kênh cầu đồng than giam phạm yên mỹ,,,,kênh cầu đồng than giam phạm yên mỹ
4253,"tòa r3 , căn 07",,,,,,,,,tòa r3 căn 07,,,,tòa r3 căn 07
4254,sunshine riverside,,,,,,,,,sunshine riverside,,,,sunshine riverside
4255,dự án sunshine river,,,,,,,,,dự án sunshine river,,,,dự án sunshine river
4256,"47 / 2 đường số 3 , quận 2",,,,,,,,,47 2 đường số 3 quận 2,,,,47 2 đường số 3 quận 2
4257,"mb 168 quốc lộ 510 , xã hoằng tiến , huyện hoằng hóa , tỉnh thanh hóa",,,,,,,,,mb 168 quốc lộ 510   tỉnh,Xã Hoằng Tiến,Huyện Hoằng Hóa,Thanh Hóa,"mb 168 quốc lộ 510   tỉnh, Xã Hoằng Tiến, Huyện Hoằng Hóa, Thanh Hóa"
4258,khu vườn lan trần thiện chánh - sư vạn hạnh,,,,,,,,,khu vườn lan trần thiện chánh sư vạn hạnh,,,,khu vườn lan trần thiện chánh sư vạn hạnh
4259,số 14 ngõ 4 phương mai,,,,,,,,,số 14 ngõ 4 phương mai,,,,số 14 ngõ 4 phương mai
4260,"ngay ngã tư đường phạm văn đồng và quốc lộ 13 , phường hiệp bình chánh , quận thủ đức",,,,,,,,,ngay ngã tư đường phạm văn đồng và quốc lộ 13 phường hiệp bình chánh quận thủ đức,,,,ngay ngã tư đường phạm văn đồng và quốc lộ 13 phường hiệp bình chánh quận thủ đức
4261,huyện lạc dương,,,,,,,,,huyện lạc dương,,,,huyện lạc dương
4262,"ngõ 195 đường võ nguyên giáp , thị trấn lương sơn , huyện lương sơn",,,,,,,,,ngõ 195 đường võ nguyên giáp thị trấn lương sơn huyện lương sơn,,,,ngõ 195 đường võ nguyên giáp thị trấn lương sơn huyện lương sơn
4263,"151 / 53 liên khu 4 - 5 , phường bình hưng hòa b , bình tân",,,,,,,,,151 53 liên khu 4 5 phường bình hưng hòa b bình tân,,,,151 53 liên khu 4 5 phường bình hưng hòa b bình tân
4264,"xã bình an , long thành , đồng nai",,,,,,,,,xã bình an long thành,,,Đồng Nai,"xã bình an long thành, Đồng Nai"
4265,đường 5b ngay khu tên lửa bình tân,,,,,,,,,đường 5b ngay khu tên lửa bình tân,,,,đường 5b ngay khu tên lửa bình tân
4266,nằm ngay tỉnh lộ 44,,,,,,,,,nằm ngay tỉnh lộ 44,,,,nằm ngay tỉnh lộ 44
4267,"trần tấn , p . tân sơn nhì",,,,,,,,,trần tấn p tân sơn nhì,,,,trần tấn p tân sơn nhì
4268,"mường thanh sơn trà , mỹ an , đà nẵng",,,,,,,,,mường thanh sơn trà mỹ an,,,Đà Nẵng,"mường thanh sơn trà mỹ an, Đà Nẵng"
4269,"khu trung tâm thương mại phức hợp cần thơ center , hưng phú , cái răng , cần thơ ( kdc hưng phú )",,,,,,,,,khu trung tâm thương mại phức hợp  center hưng phú cái răng  kdc hưng phú,,,Cần Thơ,"khu trung tâm thương mại phức hợp  center hưng phú cái răng  kdc hưng phú, Cần Thơ"
4270,e19,,,,,,,,,e19,,,,e19
4271,đường 420,,,,,,,,,đường 420,,,,đường 420
4272,"số 7 , tổ 22 , khu trung yên 6 , phường yên hòa , quận cầu giấy , hn",,,,,,,,,số 7 tổ 22 khu trung yên 6 phường yên hòa quận cầu giấy hn,,,,số 7 tổ 22 khu trung yên 6 phường yên hòa quận cầu giấy hn
4273,"mặt tiền đường phú hiệp , xã phú mỹ hưng , huyện củ chi",,,,,,,,,mặt tiền đường phú hiệp xã phú mỹ hưng huyện củ chi,,,,mặt tiền đường phú hiệp xã phú mỹ hưng huyện củ chi
4274,chung cư rivera park đường thành thái,,,,,,,,,chung cư rivera park đường thành thái,,,,chung cư rivera park đường thành thái
4275,"1271 phan văn trị , phường 10 , quận gò vấp",,,,,,,,,1271 phan văn trị phường 10 quận gò vấp,,,,1271 phan văn trị phường 10 quận gò vấp
4276,"lý nhật quang , phường nại hiên đông , quận sơn trà",,,,,,,,,lý nhật quang phường nại hiên đông quận sơn trà,,,,lý nhật quang phường nại hiên đông quận sơn trà
4277,"dự án tây hòa , trảng bom , đồng nai",,,,,,,,,dự án tây hòa trảng bom,,,Đồng Nai,"dự án tây hòa trảng bom, Đồng Nai"
4278,phường ngọc thụy - long biên,,,,,,,,,phường ngọc thụy long biên,,,,phường ngọc thụy long biên
4279,"song hành cao tốc , phường an phú , quận 2",,,,,,,,,song hành cao tốc phường an phú quận 2,,,,song hành cao tốc phường an phú quận 2
4280,bt an khang villa - khu đt dương nội - tập đoàn nam cường,,,,,,,,,bt an khang villa khu đt dương nội tập đoàn nam cường,,,,bt an khang villa khu đt dương nội tập đoàn nam cường
4281,"số 8c ngõ 66 / 16 / 22 ngọc thụy , long biên , hn",,,,,,,,,số 8c ngõ 66 16 22 ngọc thụy long biên hn,,,,số 8c ngõ 66 16 22 ngọc thụy long biên hn
4282,số 11 dv 4 đường văn phú,,,,,,,,,số 11 dv 4 đường văn phú,,,,số 11 dv 4 đường văn phú
4283,bình thạnh 49 / 22 nguyễn hữu cảnh - phường 22,,,,,,,,,bình thạnh 49 22 nguyễn hữu cảnh phường 22,,,,bình thạnh 49 22 nguyễn hữu cảnh phường 22
4284,"mặt đường võ chí công , xuân la , tây hồ",,,,,,,,,mặt đường võ chí công xuân la tây hồ,,,,mặt đường võ chí công xuân la tây hồ
4285,cao ốc đặng văn ngữ,,,,,,,,,cao ốc đặng văn ngữ,,,,cao ốc đặng văn ngữ
4286,"232 quốc lộ 13 , p . 26 , q . bình thạnh",,,,,,,,,232 quốc lộ 13 p 26 q bình thạnh,,,,232 quốc lộ 13 p 26 q bình thạnh
4287,"khu hoa lan , vinhomes riverside",,,,,,,,,khu hoa lan vinhomes riverside,,,,khu hoa lan vinhomes riverside
4288,ngõ 106 hoàng quốc việt,,,,,,,,,ngõ 106 hoàng quốc việt,,,,ngõ 106 hoàng quốc việt
4289,sky garden phú mỹ hưng quận 7,,,,,,,,,sky garden phú mỹ hưng quận 7,,,,sky garden phú mỹ hưng quận 7
4290,"ngõ 144 an dương vương , trung tâm bến bạc , phú thượng , tây hồ , hà nội",,,,,,,,,ngõ 144 an dương vương trung tâm bến bạc phú thượng tây hồ hà nội,,,,ngõ 144 an dương vương trung tâm bến bạc phú thượng tây hồ hà nội
4291,khu nam long trần trọng cung q7,,,,,,,,,khu nam long trần trọng cung q7,,,,khu nam long trần trọng cung q7
4292,mặt đường chính đồng chằm - đông xuân - quốc oai,,,,,,,,,mặt đường chính đồng chằm đông xuân quốc oai,,,,mặt đường chính đồng chằm đông xuân quốc oai
4293,chung cư quốc tế booyoung mỗ lao - hà đông,,,,,,,,,chung cư quốc tế booyoung mỗ lao hà đông,,,,chung cư quốc tế booyoung mỗ lao hà đông
4294,"the ever rich infinity . 290 an dương vương , p4 , q5",,,,,,,,,the ever rich infinity 290 an dương vương p4 q5,,,,the ever rich infinity 290 an dương vương p4 q5
4295,the everrich infinity,,,,,,,,,the everrich infinity,,,,the everrich infinity
4296,"kingston residence : 223 hoàng văn thụ , phường 8 , quận phú nhuận , tp . hcm",,,,,,,,,kingston residence 223 hoàng văn thụ phường 8 quận phú nhuận tp hcm,,,,kingston residence 223 hoàng văn thụ phường 8 quận phú nhuận tp hcm
4297,"vinhomes gardenia cao cấp full nội thất đường hàm nghi , quận nam từ liêm , hà nội",,,,,,,,,vinhomes gardenia cao cấp full nội thất đường hàm nghi quận nam từ liêm hà nội,,,,vinhomes gardenia cao cấp full nội thất đường hàm nghi quận nam từ liêm hà nội
4298,lovera - khang điền bình chánh,,,,,,,,,lovera khang điền bình chánh,,,,lovera khang điền bình chánh
4299,căn e - 09.11,,,,,,,,,căn e 09 11,,,,căn e 09 11
4300,phú cát hòa lạc quốc oai hà nội,,,,,,,,,phú cát hòa lạc quốc oai hà nội,,,,phú cát hòa lạc quốc oai hà nội
4301,"chung cư richstar - novaland , 278 hòa bình , phường hiệp tân , quận tân phú",,,,,,,,,chung cư richstar novaland 278  phường hiệp tân quận tân phú,,,Hòa Bình,"chung cư richstar novaland 278  phường hiệp tân quận tân phú, Hòa Bình"
4302,"thôn bình nông , xã xuân lâm , thị xã sông cầu , phú yên giá",,,,,,,,,thôn bình nông    giá,Xã Xuân Lâm,Thị xã Sông Cầu,Phú Yên,"thôn bình nông    giá, Xã Xuân Lâm, Thị xã Sông Cầu, Phú Yên"
4303,"mặt tiền đường võ chí công , phường phú hữu , quận 9",,,,,,,,,mặt tiền đường võ chí công phường phú hữu quận 9,,,,mặt tiền đường võ chí công phường phú hữu quận 9
4304,"xã tân phú trung , h . củ chi",,,,,,,,,xã tân phú trung h củ chi,,,,xã tân phú trung h củ chi
4305,423 / 15 âu cơ,,,,,,,,,423 15 âu cơ,,,,423 15 âu cơ
4306,"tôn thất thuyết , quận 4",,,,,,,,,tôn thất thuyết quận 4,,,,tôn thất thuyết quận 4
4307,trung tâm phường 2,,,,,,,,,trung tâm phường 2,,,,trung tâm phường 2
4308,trung tâm phuong 2,,,,,,,,,trung tâm phuong 2,,,,trung tâm phuong 2
4309,"thôn đồng bồ , đông xuân , quốc oai , hà nội",,,,,,,,,thôn đồng bồ đông xuân quốc oai hà nội,,,,thôn đồng bồ đông xuân quốc oai hà nội
